Gene_acc,Gene_id,srank,Intensity,FDR,Desc
0,sp|Q80UU9|PGRC2_MOUSE,453.94969800000007,9.18596689276784,0.0,Membrane-associated progesterone receptor component 2
1,sp|Q9CQW1|YKT6_MOUSE,203.96369,8.901883144535223,0.0,Synaptobrevin homolog YKT6
2,sp|P63024|VAMP3_MOUSE,203.96369,8.523239060190306,0.0,Vesicle-associated membrane protein 3
3,sp|P49817|CAV1_MOUSE,202.757274,8.869073232018467,0.0,Caveolin-1
4,sp|Q9CQW9|IFM3_MOUSE,157.30709299999995,8.31137236180355,0.002,Interferon-induced transmembrane protein 3
5,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE,139.068223,8.791283526429646,0.00333,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE Septin-11
6,BACE1-BirA,135.382127,10.000607587062891,0.00333,none
7,sp|O54724|CAVN1_MOUSE,128.586892,9.552254405235812,0.00333,Caveolae-associated protein 1
8,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE,113.182243,8.686922130376384,0.00333,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE Metalloreductase STEAP3
9,sp|P18572|BASI_MOUSE,88.741372,8.374253298101756,0.008,Basigin
10,sp|Q811D0|DLG1_MOUSE,85.434238,8.601299310194337,0.00818,Disks large homolog 1
11,sp|O09044|SNP23_MOUSE,74.299707,8.205285583500524,0.01167,Synaptosomal-associated protein 23
12,sp|Q5Y5T1|ZDH20_MOUSE,71.837571,8.203032887014711,0.01167,Palmitoyltransferase ZDHHC20
13,tr|F7DBB3|F7DBB3_MOUSE,63.478337,8.947065935430148,0.02143,none
14,tr|A2A6U3|A2A6U3_MOUSE,54.554429000000006,8.66848842045722,0.03667,tr|A2A6U3|A2A6U3_MOUSE Septin-9
15,sp|Q9WVA4|TAGL2_MOUSE,49.300921,7.9662684812794575,0.04437,Transgelin-2
16,sp|Q8CIB5|FERM2_MOUSE,48.044028,8.286523831815504,0.04647,Fermitin family homolog 2
17,sp|Q03145|EPHA2_MOUSE,47.63482,8.428944290035574,0.04647,Ephrin type-A receptor 2
18,sp|Q80Z96|VANG1_MOUSE,46.97120200000001,8.388154507768881,0.04647,Vang-like protein 1
19,tr|A0A2U3TZ82|A0A2U3TZ82_MOUSE,44.341641,8.072396966521762,0.0515,tr|A0A2U3TZ82|A0A2U3TZ82_MOUSE TRIO and F-actin-binding protein
20,tr|E9Q9C3|E9Q9C3_MOUSE,44.198148,8.696889099378062,0.0515,tr|E9Q9C3|E9Q9C3_MOUSE Afadin
21,tr|Q9ESU7|Q9ESU7_MOUSE,43.167692,8.335437840434784,0.052729999999999985,tr|Q9ESU7|Q9ESU7_MOUSE Amino acid transporter
22,sp|Q62371|DDR2_MOUSE,42.21288300000001,8.174437796452045,0.05304,Discoidin domain-containing receptor 2
23,sp|Q61768|KINH_MOUSE,41.349599,8.281919242436253,0.05304,Kinesin-1 heavy chain
24,sp|Q8BVY0|RL1D1_MOUSE,-40.189128,7.831888962125334,0.0552,Ribosomal L1 domain-containing protein 1
25,tr|E9Q616|E9Q616_MOUSE,40.027371,11.138460594725702,0.0552,none
26,tr|E9QM38|E9QM38_MOUSE,36.189551,8.221127221742437,0.0737,tr|E9QM38|E9QM38_MOUSE Solute carrier family 12 member 2
27,tr|A0A494BAX5|A0A494BAX5_MOUSE,-35.92322700000001,7.529353344971997,0.0737,tr|A0A494BAX5|A0A494BAX5_MOUSE Asparaginyl-tRNA synthetase (Fragment)
28,sp|Q99JR1|SFXN1_MOUSE,-34.599364,7.412662107372581,0.07862000000000001,Sideroflexin-1
29,sp|Q8R326|PSPC1_MOUSE,-33.396248,7.032900678732676,0.08367000000000001,Paraspeckle component 1
30,sp|Q8C3W1|CA198_MOUSE,-33.209812,7.605585145784423,0.08367000000000001,Uncharacterized protein C1orf198 homolog
31,sp|P08752|GNAI2_MOUSE,32.030791,8.098193625863289,0.08906,Guanine nucleotide-binding protein G(i) subunit alpha-2
32,sp|P47962|RL5_MOUSE,30.333644,7.899957223499185,0.10091,60S ribosomal protein L5
33,tr|Q3TQ29|Q3TQ29_MOUSE,-29.794390000000003,7.185853669934142,0.10091,tr|Q3TQ29|Q3TQ29_MOUSE Pumilio homolog 2
34,sp|Q8VIG0|ZCH14_MOUSE,-28.108329,7.021561392037355,0.11543,Zinc finger CCHC domain-containing protein 14
35,tr|A0A2I3BPY7|A0A2I3BPY7_MOUSE,27.803578,8.372470122841868,0.11543,tr|A0A2I3BPY7|A0A2I3BPY7_MOUSE Ankycorbin
36,sp|Q63918|CAVN2_MOUSE,27.656059000000006,8.404731115253496,0.11543,Caveolae-associated protein 2
37,tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE,26.478802,8.618936705819406,0.12184,tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE 40S ribosomal protein S11
38,sp|Q91VS7|MGST1_MOUSE,-26.056911,6.759841527748096,0.12184,Microsomal glutathione S-transferase 1
39,sp|Q8BH07|AR6P6_MOUSE,-24.834002,7.08292891501513,0.13775,ADP-ribosylation factor-like protein 6-interacting protein 6
40,tr|G3UY29|G3UY29_MOUSE,24.561599,7.607294143612198,0.14024,none
41,sp|Q8VDP4|CCAR2_MOUSE,-24.040593,7.536381658841393,0.14429,Cell cycle and apoptosis regulator protein 2
42,tr|D3YVM2|D3YVM2_MOUSE,23.385523000000006,8.008983203815472,0.15349000000000002,tr|D3YVM2|D3YVM2_MOUSE Transmembrane protein 59
43,sp|Q9D0D4|DIM1_MOUSE,-21.702469,7.670273691571739,0.18227,Probable dimethyladenosine transferase
44,sp|Q8R1L4|ERD23_MOUSE,-20.831881,6.81203720303537,0.19756,ER lumen protein-retaining receptor 3
45,sp|Q99L85|ELP5_MOUSE,-20.380661,7.224869594573257,0.20609,Elongator complex protein 5
46,sp|Q6P9J9|ANO6_MOUSE,20.332843,8.460100654538845,0.20609,Anoctamin-6
47,sp|Q3T9E4|TGTP2_MOUSE,-19.853796,7.595463152458813,0.21042,T-cell-specific guanine nucleotide triphosphate-binding protein 2
48,sp|Q7TT50|MRCKB_MOUSE,19.833565,7.714497408649806,0.21042,Serine/threonine-protein kinase MRCK beta
49,sp|Q08509|EPS8_MOUSE,-19.394518,9.03726709456871,0.2134,Epidermal growth factor receptor kinase substrate 8
50,sp|O08583|THOC4_MOUSE,-19.316705,7.1633104889636865,0.2134,THO complex subunit 4
51,sp|Q60988|STIL_MOUSE,-19.274805,7.051769746899332,0.2134,SCL-interrupting locus protein homolog
52,tr|Q924U4|Q924U4_MOUSE,18.798955,7.9294444716971775,0.21792,tr|Q924U4|Q924U4_MOUSE Caveolin
53,tr|Q9ER67|Q9ER67_MOUSE,-18.422013,6.807595906205799,0.22407,none
54,tr|G5E887|G5E887_MOUSE,-18.403962,6.319293484105279,0.22407,tr|G5E887|G5E887_MOUSE Lebercilin
55,sp|P82349|SGCB_MOUSE,-18.22331,7.414120626043821,0.22407,Beta-sarcoglycan
56,sp|Q9CQS4|S2546_MOUSE,-18.167912,7.585189916062663,0.22407,Solute carrier family 25 member 46
57,sp|Q8CI51|PDLI5_MOUSE,18.081513,7.81068942964365,0.22407,PDZ and LIM domain protein 5
58,sp|Q8CHH9|SEPT8_MOUSE,17.886631,7.74066264389124,0.22407,Septin-8
59,tr|E9QN08|E9QN08_MOUSE,17.49311,8.122543524068755,0.22783,tr|E9QN08|E9QN08_MOUSE Elongation factor 1-delta (Fragment)
