Gene_acc,Gene_id,srank,Intensity,FDR,Desc,desc2,ids2
0,sp|Q80UU9|PGRC2_MOUSE,363.412516,9.18596689276784,0.0,Membrane-associated progesterone receptor component 2,sp|Q80UU9|PGRC2_MOUSE Membrane-associated progesterone receptor component 2 OS=Mus musculus OX=10090 GN=Pgrmc2 PE=1 SV=2,sp|Q80UU9|PGRC2_MOUSE
1,BACE1-BirA,269.45272400000005,10.000607587062891,0.0,none,BACE1-BirA fusion protein DNA sequence,BACE1-BirA;sp|P56818|BACE1_MOUSE;tr|Q8C4F4|Q8C4F4_MOUSE;tr|F6TV37|F6TV37_MOUSE;tr|F6UH57|F6UH57_MOUSE
2,sp|P49817|CAV1_MOUSE,228.880976,8.869073232018467,0.0,Caveolin-1,sp|P49817|CAV1_MOUSE Caveolin-1 OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=1;tr|D3Z148|D3Z148_MOUSE Caveolin (Fragment) OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=2;tr|H3BKG0|H3BKG0_MOUSE Caveolin-1 OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=1,sp|P49817|CAV1_MOUSE;tr|D3Z148|D3Z148_MOUSE;tr|H3BKG0|H3BKG0_MOUSE;tr|D3Z0J2|D3Z0J2_MOUSE;sp|P51637|CAV3_MOUSE
3,sp|Q9CQW9|IFM3_MOUSE,217.770158,8.31137236180355,0.0,Interferon-induced transmembrane protein 3,sp|Q9CQW9|IFM3_MOUSE Interferon-induced transmembrane protein 3 OS=Mus musculus OX=10090 GN=Ifitm3 PE=1 SV=1,sp|Q9CQW9|IFM3_MOUSE;sp|Q99J93|IFM2_MOUSE;tr|A0A1B0GT68|A0A1B0GT68_MOUSE
4,sp|P63024|VAMP3_MOUSE,189.832221,8.523239060190306,0.0,Vesicle-associated membrane protein 3,sp|P63024|VAMP3_MOUSE Vesicle-associated membrane protein 3 OS=Mus musculus OX=10090 GN=Vamp3 PE=1 SV=1,sp|P63024|VAMP3_MOUSE;sp|P63044|VAMP2_MOUSE;tr|B0QZN5|B0QZN5_MOUSE;tr|A0A0N4SUV3|A0A0N4SUV3_MOUSE;sp|Q62442|VAMP1_MOUSE;tr|D3YTU0|D3YTU0_MOUSE
5,sp|Q9CQW1|YKT6_MOUSE,183.34534,8.901883144535223,0.0,Synaptobrevin homolog YKT6,sp|Q9CQW1|YKT6_MOUSE Synaptobrevin homolog YKT6 OS=Mus musculus OX=10090 GN=Ykt6 PE=1 SV=1,sp|Q9CQW1|YKT6_MOUSE
6,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE,128.119252,8.791283526429646,0.00857,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE Septin-11,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE Septin-11 OS=Mus musculus OX=10090 GN=Septin11 PE=1 SV=1;sp|Q8C1B7|SEP11_MOUSE Septin-11 OS=Mus musculus OX=10090 GN=Septin11 PE=1 SV=4;tr|A0A0J9YUL3|A0A0J9YUL3_MOUSE Septin-11 OS=Mus musculus OX=10090 GN=Septin11 PE=1 SV=1,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE;sp|Q8C1B7|SEP11_MOUSE;tr|A0A0J9YUL3|A0A0J9YUL3_MOUSE;sp|Q9R1T4|SEPT6_MOUSE;tr|A0A0J9YUV6|A0A0J9YUV6_MOUSE;tr|A0A0J9YVA6|A0A0J9YVA6_MOUSE;tr|A2A3W1|A2A3W1_MOUSE
7,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE,124.59724,8.686922130376384,0.00857,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE Metalloreductase STEAP3,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE Metalloreductase STEAP3 OS=Mus musculus OX=10090 GN=Steap3 PE=1 SV=1;sp|Q8CI59|STEA3_MOUSE Metalloreductase STEAP3 OS=Mus musculus OX=10090 GN=Steap3 PE=1 SV=1;tr|E9QN92|E9QN92_MOUSE Metalloreductase STEAP3 OS=Mus musculus OX,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE;sp|Q8CI59|STEA3_MOUSE;tr|E9QN92|E9QN92_MOUSE;tr|D3YTP0|D3YTP0_MOUSE
8,sp|O09044|SNP23_MOUSE,102.231063,8.205285583500524,0.01,Synaptosomal-associated protein 23,sp|O09044|SNP23_MOUSE Synaptosomal-associated protein 23 OS=Mus musculus OX=10090 GN=Snap23 PE=1 SV=1;tr|Q9D3L3|Q9D3L3_MOUSE Synaptosomal-associated protein OS=Mus musculus OX=10090 GN=Snap23 PE=1 SV=1;tr|B0R030|B0R030_MOUSE Synaptosomal-associated protein,sp|O09044|SNP23_MOUSE;tr|Q9D3L3|Q9D3L3_MOUSE;tr|B0R030|B0R030_MOUSE;tr|B0R029|B0R029_MOUSE;tr|E9Q8A1|E9Q8A1_MOUSE;sp|P60879|SNP25_MOUSE
9,tr|F7DBB3|F7DBB3_MOUSE,97.011204,8.947065935430148,0.01,none,tr|F7DBB3|F7DBB3_MOUSE AHNAK nucleoprotein 2 (Fragment) OS=Mus musculus OX=10090 GN=Ahnak2 PE=1 SV=1,tr|F7DBB3|F7DBB3_MOUSE;tr|Q3URZ6|Q3URZ6_MOUSE
